A_new_ 1,A_new_ 2,A_new_ 3,A_new_ 4,A_new_ 5,A_new_ 6,A_new_ 7,A_new_ 8,A_new_ 9,A_new_10,A_new_11,A_new_12,A_new_13
1083.33333333333,1108.33333333333,1058.33333333333,1166.66666666667,1050,1041.66666666667,958.333333333333,1033.33333333333,1158.33333333333,1175,1333.33333333333,791.666666666667,775
1641.66666666667,1666.66666666667,1591.66666666667,1641.66666666667,1650,1650,1541.66666666667,1600,1633.33333333333,1783.33333333333,1641.66666666667,1458.33333333333,1566.66666666667
3141.66666666667,3083.33333333333,3083.33333333333,3158.33333333333,3150,3258.33333333333,3166.66666666667,3075,3008.33333333333,3050,3200,2833.33333333333,3025
4225,4091.66666666667,3983.33333333333,3933.33333333333,3933.33333333333,4000,4066.66666666667,3966.66666666667,4158.33333333333,4166.66666666667,3916.66666666667,4166.66666666667,4066.66666666667
4841.66666666667,4683.33333333333,4850,4708.33333333333,4808.33333333333,4683.33333333333,4716.66666666667,4758.33333333333,4691.66666666667,4708.33333333333,4875,4708.33333333333,4908.33333333333
5108.33333333333,5258.33333333333,5091.66666666667,5258.33333333333,5150,5133.33333333333,5083.33333333333,5166.66666666667,5150,5125,5750,5183.33333333333,5641.66666666667
