A_old_ 1,A_old_ 2,A_old_ 3,A_old_ 4,A_old_ 5,A_old_ 6,A_old_ 7,A_old_ 8,A_old_ 9,A_old_10,A_old_11,A_old_12,A_old_13
1033.33333333333,1066.66666666667,1033.33333333333,1116.66666666667,1058.33333333333,1000,983.333333333333,1000,1116.66666666667,1241.66666666667,941.666666666667,908.333333333333,816.666666666667
1708.33333333333,1700,1616.66666666667,1658.33333333333,1600,1616.66666666667,1608.33333333333,1608.33333333333,1608.33333333333,1783.33333333333,1550,1533.33333333333,1625
2916.66666666667,2966.66666666667,3058.33333333333,3083.33333333333,2916.66666666667,3041.66666666667,3175,3158.33333333333,2900,3083.33333333333,3091.66666666667,2950,3125
4116.66666666667,4058.33333333333,3941.66666666667,4258.33333333333,4066.66666666667,4141.66666666667,4033.33333333333,4083.33333333333,4308.33333333333,4183.33333333333,4091.66666666667,4150,4158.33333333333
4766.66666666667,4700,4708.33333333333,4783.33333333333,4741.66666666667,4716.66666666667,4733.33333333333,4925,4683.33333333333,4575,4783.33333333333,4825,4775
5158.33333333333,5233.33333333333,5066.66666666667,5216.66666666667,5191.66666666667,5116.66666666667,6166.66666666667,5883.33333333333,5208.33333333333,5100,6050,6125,6158.33333333333
