Cepstrum_Result
175
362.5
562.5
762.5
912.5
1112.5
1293.75
1456.25
1662.5
1843.75
2006.25
2212.5
2412.5
2575
2768.75
3006.25
3125
3318.75
3525
3862.5
4206.25
4418.75
4756.25
4968.75
5181.25
5350
5525
5725
5881.25
6081.25
6300
6437.5
6650
6831.25
7000
7200
7362.5
7531.25
7731.25
7887.5
