Transfer_Function
661.818181818182
1138.18181818182
1960.90909090909
3040.90909090909
3830
5420
6107.27272727273
6631.81818181818
7146.36363636364
7470.90909090909
7932.72727272727
NaN
172.727272727273
926.363636363636
1766.36363636364
1969.09090909091
3575.45454545455
5091.81818181818
5730.90909090909
6345.45454545455
6910.90909090909
7342.72727272727
7712.72727272727
